Star,Pressure,Temperature,mass,S,H,V,Cp,viscosity,SiO2,TiO2,Al2O3,Fe2O3,Cr2O3,FeO,MgO,CaO,Na2O
HD144342,10000.00,1328.00,20.349707,55.804203,-225529.597805,6.969942,30.580296,1.269,46.2365,1.64491,12.6359,1.92125,0,14.5352,10.68,10.6813,1.66498
HD169830,10000.00,1328.00,23.269495,63.896187,-264386.752074,8.088208,35.117034,1.488,47.8877,1.46528,13.8729,1.66634,0,12.4173,10.4043,10.7473,1.539
HD34327,10000.00,1328.00,21.316034,58.498961,-239318.668933,7.355408,32.106025,1.382,47.1006,1.62196,13.2903,1.78118,0,13.4635,10.5943,10.5742,1.57391
HD218511,10000.00,1328.00,22.379381,61.311165,-254484.674439,7.778141,33.703424,1.529,48.047,1.65461,13.847,1.65745,0,12.3033,9.99809,11.204,1.28848
HD30858,10000.00,1328.00,19.791441,54.188757,-218967.170147,6.767496,29.705391,1.268,46.1335,1.66681,12.6441,1.93395,0,14.7366,10.539,10.8444,1.50169
HD11938,10000.00,1328.00,20.792357,57.248320,-236414.737503,7.299078,31.138975,1.698,50.2413,1.40108,12.7138,1.67918,0,12.0499,9.42026,10.5617,1.93269
HD37962,10000.00,1328.00,19.811784,54.220732,-219451.871369,6.774096,29.750529,1.269,46.0646,1.66528,12.7922,1.92007,0,14.6649,10.5499,10.9081,1.43501
HD224789,10000.00,1328.00,18.054501,49.488709,-199544.599143,6.205817,26.951809,1.391,47.5538,1.62239,11.9166,1.95607,0,14.6871,9.90453,10.6878,1.67175
HD22177,10000.00,1328.00,21.702421,59.569188,-242725.336914,7.452142,32.780442,1.281,46.2018,1.55479,13.5688,1.79723,0,13.9989,11.2158,10.1107,1.55201
HD113569,10000.00,1328.00,21.473257,58.812100,-237406.232969,7.311008,32.393292,1.146,44.9582,1.59356,13.043,1.9379,0,14.8829,11.2525,10.8092,1.52273
HD189004,10000.00,1328.00,15.666320,42.837713,-168674.246653,5.307008,23.231090,1.215,46.3519,2.10649,10.3051,2.19704,0,16.7949,9.95353,10.6558,1.63529
