Star,Mass
HD203850,
HD203897,1.638813
HD20407,
HD204287,2.324505
HD204313,1.263852
HD204385,2.325593
HD20492,0.763791
HD204941,2.142952
HD205294,3.627873
HD205536,1.803614
HD205591,3.904526
HD206116,4.708452
HD206163,2.064346
HD206172,2.204973
HD20619,1.948025
HD206630,2.14058
HD206998,
HD2071,2.060232
HD207129,2.36685
HD207190,
HD207583,2.130073
HD207699,1.294928
HD207700,
HD20781,1.632464
HD20782,2.325919
HD207832,2.51862
HD207869,
HD20794,
HD207970,
HD208,1.721775
HD208068,2.405926
HD20807,
HD208272,1.788331
HD208487,2.62632
HD208573,1.642134
HD208672,2.473899
HD20868,2.230844
HD208704,2.572637
HD209100,
HD209449,
HD209458,
HD209566,1.429094
HD209742,2.022136
HD21019,
HD210272,
HD210277,
HD210320,
HD210329,2.069258
HD210507,3.32799
HD210573,2.851297
HD210752,
HD210918,3.535387
HD210975,
HD211038,
HD211188,1.587841
HD211317,6.931635
HD21132,
HD211369,1.262062
HD211415,1.806218
HD211534,1.774278
HD211583,1.796194
HD21161,3.482906
HD212036,2.496715
HD21209A,0.698163
HD212231,
HD212301,4.157805
HD21251,11.563547
HD212563,1.151684
HD212580,1.574384
HD212708,1.819502
HD212918,3.117423
HD213042,0.830689
HD213240,2.679326
HD213575,
HD213628,1.753343
HD213852,1.622136
HD213941,
HD214094,2.605455
HD21411,1.661064
HD214383,1.046059
HD214385,
HD214759,1.581097
HD214867,4.547884
HD214954,2.189753
HD214998,
HD215152,0.666061
HD215257,
HD215456,2.067162
HD215497,
HD215625,3.2389
HD215722,0.400788
HD215902,2.24431
HD215906,3.246942
HD216008,2.254761
HD216215,2.635895
HD216435,4.115966
HD216770,
HD216777,
HD21693,
HD217221,1.727693
HD217395,2.074536
HD21749,2.437975
HD21759,
HD217786,4.719001
HD217958,4.798317
HD218249,1.842908
HD218340,2.272333
HD218379,1.791896
HD218504,
HD218511,5.170235
HD218572,
HD218750,
HD218885,1.737815
HD219077,
HD219249,
HD21938,
HD219495,6.341914
HD21977,2.999316
HD220256,
HD220339,2.499557
HD220367,
HD220456,2.13041
HD22049,1.373177
HD220507,
HD220894,5.729876
HD221146,1.722104
HD221287,3.939896
HD221343,1.954558
HD221356,2.351405
HD221420,
HD221580,2.593248
HD221638,4.459658
HD22177,2.108836
HD221974,4.089182
HD222237,
HD222335,1.348883
HD222422,2.223443
HD22249,2.637578
HD222582,2.089692
HD222595,1.749245
HD222669,1.926471
HD222721,
HD22282,3.916553
HD223121,1.345132
HD223171,1.906162
HD223272,3.428481
HD223282,
HD223315,3.387573
HD223854,6.098276
HD224047,2.350078
HD224063,
HD224230,0.541542
HD224287,2.534084
HD224347,
HD224393,1.880439
HD224432,1.331901
HD224433,1.093399
HD224578,1.882566
HD224619,
HD224685,
HD224789,2.695597
HD224817,
HD225297,
HD22610,3.376197
HD22879,
HD22897,0.970851
HD22918,
HD23030,1.919549
HD23079,2.369427
HD23249,0.739365
HD23356,2.23332
HD23456,
HD23472,2.298735
HD23901,
HD24062,3.76448
HD24085,2.103304
HD24112,3.2581
HD24331,1.716284
HD24558,
HD24633,
HD24892,
HD25061,2.997556
HD25105,1.327641
HD25120,0.855825
HD25171,1.522919
HD25357,3.013406
HD25565,1.560306
HD25587,5.746533
HD2567,3.444476
HD25673,
HD25704,
HD25912,2.094348
HD2638,2.833289
HD26430,
HD26729,2.068686
HD26887,1.294532
HD26965A,
HD27063,1.783162
HD27471,3.046103
HD2768,1.809514
HD27894,
HD28185,2.225308
HD28254,1.788436
HD283,
HD28471,2.408982
HD28701,
HD28807,2.416283
HD28821,2.824012
HD28969,0.998276
HD290038,3.449021
HD290327,
HD29137,1.649459
HD291763,
HD29263,2.213245
HD29303,
HD29428,7.461673
HD297396,3.44153
HD29980,2.671989
HD29985,3.674875
HD30053,0.798558
HD30177,1.22904
HD30278,2.469883
HD30306,2.070753
HD30523,2.847621
HD30669,2.780203
HD30858,2.008695
HD309701,1.571491
HD31103,3.03908
HD31527,2.116406
HD31532,2.656006
HD31560,3.837037
HD31822,2.44066
HD3220,1.765528
HD3229,1.854732
HD323631,1.609128
HD324492,
HD326267,1.692793
HD32724,
HD32804,1.798565
HD329788,
HD330075,
HD33081,
HD33473A,2.397783
HD33725,1.821698
HD33811,1.925431
HD33822,0.73267
HD34327,2.648952
HD34449,2.012793
HD34688,2.331676
HD3569,2.816454
HD35854,1.777163
HD36003,4.851675
HD36051,1.802621
HD361,2.214956
HD36108,2.696053
HD36179,1.305606
HD36379,2.159472
HD37226,2.508343
HD37548,2.204269
HD37962,2.156475
HD37986,0.689299
HD37990,3.326758
HD38078,1.604139
HD3808,2.572029
HD3823,
HD38265,2.182856
HD38277,2.275528
HD38355,2.15732
HD38382,2.126433
HD38385,6.857877
